NOMBRE.1,CVE_ART,DESCR
PÚBLICO EN GENERAL,BB1 1/2X1/2-300W,"BOQUILLA 11/2X1""1/2"" 300W 240V"""
PÚBLICO EN GENERAL,TUE00034,"TUB INOX7 /16x115CMS CLIP15KW220V PLACA"""
PÚBLICO EN GENERAL,TUA00462,"TUB INOX 5/16""ØX25CM 3000W240V ""U""T/PUMA"
PÚBLICO EN GENERAL,TUE00365,"TUB INOX 5/16""ØX315MM 3KW240V 3 ELIPSES"
PÚBLICO EN GENERAL,CS12N1050A00,"CAS INOX 1/2""ØX8"" 500W 127V EXT30CM"
PÚBLICO EN GENERAL,TUS00126,"TUS INOX 5/16""ØX30CM 1000W 127V ""U"""
PÚBLICO EN GENERAL,RB00003,BOB 8020 CAL.19 1612W 127V CER-10CANALES
PÚBLICO EN GENERAL,RB00010,BOB 8020 CAL.19 1612W 127V CER-8CANALES
PÚBLICO EN GENERAL,RP00213,REPARACION MARCADORA DE LLANTAS
PÚBLICO EN GENERAL,RP00214,REPARACION DE SELLADORA DE 30CM
PÚBLICO EN GENERAL,TUA00474,"TUB INOX 1/2""ØX500MM 9000W 240V C/PLACA"
PÚBLICO EN GENERAL,TUE00094,"TUB INOX 1/2""ØX495MM 3000W220V U PLA/ACO"
PÚBLICO EN GENERAL,TP0005,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3 MT
PÚBLICO EN GENERAL,EE00071,FAB RESISTENCIA DSD CAL.12 X40CMX10CM
PÚBLICO EN GENERAL,CS58L2050A00,"CAS INOX 5/8""ØX6"" 500W 240V EXT30CM"
PÚBLICO EN GENERAL,BP00183,BAN P COMUN 24MMØX108CM 1750W220V T/TORN
PÚBLICO EN GENERAL,BB2X2ST,"BOQUILLA 2X2""  350W 240V"""
PÚBLICO EN GENERAL,PJ31C1C1B000,"TER J 3/16""ØX2"" EXT50CM ZAP/PIN"
PÚBLICO EN GENERAL,EE00071,FAB RESISTENCIA DSD CAL.12 X40CMX10CM
PÚBLICO EN GENERAL,TP0002,TERMOPAR J3/16 Ø X 1' 1/2 EXT.  1.5 MT
PÚBLICO EN GENERAL,TUS00113,"TUB INOX 1/4""ØX80CM 800W127V RECTA T/ZAP"
PÚBLICO EN GENERAL,TP0001,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT
PÚBLICO EN GENERAL,CS12N1050A00,"CAS INOX 1/2""ØX8"" 500W 127V EXT30CM"
PÚBLICO EN GENERAL,TUE00384,"TUB INOX 1/4""ØX65MM 180W 127V CIRCU/BASE"
PÚBLICO EN GENERAL,TUE00387,"TUB INOX 5/16""ØX27CM 1000W 240V ESPECIAL"
PÚBLICO EN GENERAL,TUE00195,"TUB INOX. 5/16"" Øx2085mm ESP 1900W 230V"
PÚBLICO EN GENERAL,TU5/16X870J127V,"TUB INOX 5/16""ØX800MM 2000W127V ""J"" TBOY"
PÚBLICO EN GENERAL,BB00102,BB INOX 38MMØX76MM 300W 120V C/TJ
PÚBLICO EN GENERAL,TUE00166,"TUB INOX 5/16""Øx695mm ESP 650W 120V"
PÚBLICO EN GENERAL,TP0012,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14"""
PÚBLICO EN GENERAL,TUE00206,"TUB INOX 5/16""Øx930mm 1000W 127V CAPUCHO"
PÚBLICO EN GENERAL,TU5/16X870J127V,"TUB INOX 5/16""ØX800MM 2000W127V ""J"" TBOY"
PÚBLICO EN GENERAL,CS14D2017B20,"CAS INOX 1/4""ØX2"" 175W240V EXT30CM C/TJ"
PÚBLICO EN GENERAL,TP0012,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14"""
PÚBLICO EN GENERAL,TP0016,"TERMOPAR CERAMICO T/K"" LONG 24"" CAL 8"""
REVUELTA MONTECARLO,TUA00470,"TUB INOX 1/2""ØX500MM 10KW 220V 2 1/2""NPT"
REVUELTA MONTECARLO,TUA00470,"TUB INOX 1/2""ØX500MM 10KW 220V 2 1/2""NPT"
